Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,SalePrice_log,TotalSF,HouseAge,RemodAge,TotalBathrooms
36,60,3,108.0,13418,1,1,3,3,0,4,0,16,2,2,0,5,8,5,2004,2005,1,1,12,13,3,132.0,4,3,2,5,3,0,6,0,6,0,1117,1117,1,5,1,5,1132,1320,0,2452,0,0,3,1,4,1,4,9,6,1,4,3,2004.0,0,3,691,3,3,2,113,32,0,0,0,0,0,4,1,0,9,2006,8,4,309000,12.6410997921206,3569,2,1,3.5
37,20,3,112.0,10859,1,1,3,3,0,0,0,5,2,2,0,2,5,5,1994,1995,1,1,12,13,2,0.0,3,3,2,4,3,3,6,0,6,0,1097,1097,1,5,1,5,1097,0,0,1097,0,0,1,1,3,1,3,6,6,0,0,1,1995.0,3,2,672,3,3,2,392,64,0,0,0,0,0,4,1,0,6,2009,8,4,145000,11.884495917930655,2194,15,14,1.5
38,20,3,74.0,8532,1,1,3,3,0,4,0,12,2,2,0,2,5,6,1954,1990,3,1,13,14,1,650.0,3,3,1,3,3,3,5,1213,6,0,84,1297,1,4,1,5,1297,0,0,1297,0,1,1,0,3,1,3,5,6,1,3,1,1954.0,0,2,498,3,3,2,0,0,0,0,0,0,0,4,1,0,10,2009,8,4,153000,11.938199736300925,2594,55,19,1.5
39,20,3,68.0,7922,1,1,3,3,0,4,0,12,2,2,0,2,5,7,1953,2007,1,1,12,13,2,0.0,3,4,1,3,3,3,2,731,6,0,326,1057,1,3,1,5,1057,0,0,1057,1,0,1,0,3,1,4,5,6,0,0,5,1953.0,3,1,246,3,3,2,0,52,0,0,0,0,0,4,1,0,1,2010,8,0,109000,11.599112335481124,2114,57,3,2.0
40,90,3,65.0,6040,1,1,3,3,0,4,0,7,2,2,2,2,4,5,1955,1955,1,1,0,10,2,0.0,3,3,2,0,0,4,4,0,4,0,0,0,1,3,0,2,1152,0,0,1152,0,0,2,0,2,2,2,6,6,0,0,6,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,6,2008,8,1,82000,11.314486721293981,1152,53,53,2.0
41,20,3,84.0,8658,1,1,3,3,0,4,0,12,2,2,0,2,6,5,1965,1965,1,1,13,14,1,101.0,3,3,1,3,3,3,5,643,6,0,445,1088,1,5,1,5,1324,0,0,1324,0,0,2,0,3,1,3,6,6,1,3,1,1965.0,2,2,440,3,3,2,0,138,0,0,0,0,0,1,1,0,12,2006,8,0,160000,11.982935344196433,2412,41,41,2.0
42,20,3,115.0,16905,1,1,3,3,0,4,0,23,2,2,0,2,5,6,1959,1959,1,1,12,13,2,0.0,3,4,1,3,3,1,1,967,6,0,383,1350,1,4,1,5,1328,0,0,1328,0,1,1,1,2,1,3,5,6,2,4,1,1959.0,2,1,308,3,3,1,0,104,0,0,0,0,0,4,1,0,7,2007,8,4,170000,12.04355959836804,2678,48,48,2.0
43,85,3,0.0,9180,1,1,0,3,0,1,0,20,2,2,0,6,5,7,1983,1983,1,1,6,6,2,0.0,3,3,1,4,3,0,0,747,3,93,0,840,1,4,1,5,884,0,0,884,1,0,1,0,2,1,4,5,6,0,0,1,1983.0,2,2,504,3,4,2,240,0,0,0,0,0,0,2,1,0,12,2007,8,4,144000,11.87757552297847,1724,24,24,2.0
44,20,3,0.0,9200,1,1,0,3,0,1,0,5,2,2,0,2,5,6,1975,1980,3,1,12,13,2,0.0,3,3,1,4,3,0,3,280,1,491,167,938,1,3,1,5,938,0,0,938,1,0,1,0,3,1,3,5,6,0,0,5,1977.0,3,1,308,3,3,2,145,0,0,0,0,0,0,2,1,0,7,2008,8,4,130250,11.777218637129327,1876,33,28,2.0
45,20,3,70.0,7945,1,1,3,3,0,4,0,12,2,2,0,2,5,6,1959,1959,1,1,3,14,2,0.0,3,3,1,3,3,3,0,179,1,506,465,1150,1,5,1,0,1150,0,0,1150,1,0,1,0,3,1,3,6,6,0,0,1,1959.0,2,1,300,3,3,2,0,0,0,0,0,0,0,4,1,0,5,2006,8,4,141000,11.856522261533737,2300,47,47,2.0
46,120,3,61.0,7658,1,1,3,3,0,4,0,16,2,2,4,2,9,5,2005,2005,3,1,8,8,1,412.0,5,3,2,5,3,3,2,456,6,0,1296,1752,1,5,1,5,1752,0,0,1752,1,0,2,0,2,1,5,6,6,1,4,1,2005.0,2,2,576,3,3,2,196,82,0,0,0,0,0,4,1,0,2,2010,8,4,319900,12.675766851909591,3504,5,5,3.0
47,50,3,48.0,12822,1,1,0,3,0,1,0,11,2,2,0,0,7,5,2003,2003,1,1,12,13,2,0.0,4,3,2,5,3,3,2,1351,6,0,83,1434,1,5,1,5,1518,631,0,2149,1,0,1,1,1,1,4,6,6,1,5,1,2003.0,2,2,670,3,3,2,168,43,0,0,198,0,0,4,1,0,8,2009,8,0,239686,12.387089184491993,3583,6,6,2.5
48,20,1,84.0,11096,1,1,3,3,0,4,0,21,2,2,0,2,8,5,2006,2006,1,1,12,13,2,0.0,4,3,2,4,3,0,2,24,6,0,1632,1656,1,5,1,5,1656,0,0,1656,0,0,2,0,3,1,4,7,6,0,0,1,2006.0,2,3,826,3,3,2,0,146,0,0,0,0,0,4,1,0,7,2007,8,4,249700,12.428019481065613,3312,1,1,2.0
49,190,4,33.0,4456,1,1,3,3,0,4,0,17,2,2,1,5,4,5,1920,2008,1,1,8,8,2,0.0,3,3,0,3,3,3,6,0,6,0,736,736,1,4,1,5,736,716,0,1452,0,0,2,0,2,3,3,8,6,0,0,6,0.0,1,0,0,0,0,0,0,0,102,0,0,0,0,4,1,0,6,2009,6,5,113000,11.635151947212842,2188,89,1,2.0
50,20,3,66.0,7742,1,1,3,3,0,4,0,19,2,2,0,2,5,7,1966,1966,1,1,6,6,2,0.0,3,3,1,3,3,3,1,763,6,0,192,955,1,5,1,5,955,0,0,955,1,0,1,0,3,1,3,6,6,0,0,1,1966.0,3,1,386,3,3,2,0,0,0,0,0,0,0,2,1,0,1,2007,8,4,127000,11.751950239425476,1910,41,41,2.0
51,60,3,0.0,13869,1,1,1,3,0,0,0,8,2,2,0,5,6,6,1997,1997,1,1,12,13,2,0.0,3,3,2,4,3,0,2,182,6,0,612,794,1,4,1,5,794,676,0,1470,0,1,2,0,3,1,3,6,6,0,0,1,1997.0,0,2,388,3,3,2,0,75,0,0,0,0,0,4,1,0,7,2007,8,4,177000,12.083910661257521,2264,10,10,2.5
52,50,4,52.0,6240,1,1,3,3,0,4,0,3,2,2,0,0,6,6,1934,1950,1,1,13,14,2,0.0,3,3,2,3,3,3,6,0,6,0,816,816,1,3,1,5,816,0,360,1176,0,0,1,0,3,1,3,6,6,1,4,5,1985.0,3,2,528,3,3,2,112,0,0,0,0,0,0,2,3,400,9,2006,8,4,114500,11.648338835562747,1632,72,56,1.0
53,90,4,110.0,8472,0,1,1,0,0,0,1,9,8,2,2,2,5,5,1963,1963,1,1,13,14,2,0.0,2,3,1,4,3,1,3,104,2,712,0,816,1,3,0,5,816,0,0,816,1,0,1,0,2,1,3,5,6,0,0,4,1963.0,3,2,516,3,3,2,106,0,0,0,0,0,0,4,1,0,5,2010,8,4,110000,11.608244735642321,1632,47,47,2.0
54,20,3,68.0,50271,1,1,0,2,0,4,0,24,2,2,0,2,9,5,1981,1987,1,7,14,15,2,0.0,4,3,1,5,3,1,2,1810,6,0,32,1842,1,4,1,5,1842,0,0,1842,2,0,0,1,0,1,4,5,6,1,4,1,1981.0,0,3,894,3,3,2,857,72,0,0,0,0,0,4,1,0,11,2006,8,4,385000,12.861001210669146,3684,25,19,2.5
55,80,3,60.0,7134,1,1,3,0,0,4,1,12,2,2,0,7,5,5,1955,1955,1,1,8,8,2,0.0,3,3,1,3,3,3,0,384,6,0,0,384,1,3,1,5,1360,0,0,1360,0,0,1,0,3,1,3,6,2,1,3,5,1962.0,3,2,572,3,3,2,0,50,0,0,0,0,0,2,1,0,2,2007,8,4,130000,11.775297421715827,1744,52,52,1.0
56,20,3,100.0,10175,1,1,0,3,0,4,0,12,2,2,0,2,6,5,1964,1964,1,1,6,10,1,272.0,3,3,1,3,3,3,1,490,6,0,935,1425,1,4,1,5,1425,0,0,1425,0,0,2,0,3,1,3,7,6,1,4,1,1964.0,2,2,576,3,3,2,0,0,0,407,0,0,0,4,1,0,7,2008,8,4,180500,12.103491596905931,2850,44,44,2.0
57,160,1,24.0,2645,1,2,3,3,0,4,0,21,2,2,3,5,8,5,1999,2000,1,1,8,8,1,456.0,4,3,2,4,3,3,2,649,6,0,321,970,1,5,1,5,983,756,0,1739,1,0,2,1,3,1,4,7,6,0,0,1,1999.0,0,2,480,3,3,2,115,0,0,0,0,0,0,4,1,0,8,2009,8,0,172500,12.058158312538197,2709,10,9,3.5
58,60,3,89.0,11645,1,1,0,3,0,0,0,5,2,2,0,5,7,5,2004,2004,1,1,12,13,2,0.0,4,3,2,4,3,3,6,0,6,0,860,860,1,5,1,5,860,860,0,1720,0,0,2,1,3,1,4,7,6,0,0,1,2004.0,2,2,565,3,3,2,0,70,0,0,0,0,0,4,1,0,8,2006,8,4,196500,12.188422799337028,2580,2,2,2.5
59,60,3,66.0,13682,1,1,1,1,0,1,0,22,2,2,0,5,10,5,2006,2006,3,1,12,13,1,1031.0,5,3,2,5,3,1,6,0,6,0,1410,1410,1,5,1,5,1426,1519,0,2945,0,0,3,1,3,1,4,10,6,1,4,3,2006.0,0,3,641,3,3,2,192,0,37,0,0,0,0,4,1,0,10,2006,6,5,438780,12.991755706536901,4355,0,0,3.5
60,20,3,60.0,7200,1,1,3,0,0,4,0,5,2,2,0,2,5,7,1972,1972,1,1,6,6,2,0.0,3,3,1,3,3,0,0,632,6,0,148,780,1,5,1,5,780,0,0,780,0,0,1,0,2,1,3,4,6,0,0,5,1973.0,3,1,352,3,3,2,196,0,0,0,0,0,0,2,1,0,1,2008,8,4,124900,11.735276702486741,1560,36,36,1.0
61,20,3,63.0,13072,1,1,3,3,0,4,0,20,5,2,0,2,6,5,2004,2004,1,1,12,13,2,0.0,3,3,2,4,3,3,0,941,6,0,217,1158,1,5,1,5,1158,0,0,1158,1,0,1,1,3,1,4,5,6,0,0,5,2006.0,3,2,576,3,3,2,0,50,0,0,0,0,0,4,1,0,5,2006,6,5,158000,11.970356641102999,2316,2,2,2.5
62,75,4,60.0,7200,1,1,3,3,0,4,0,9,2,2,0,4,5,7,1920,1996,1,1,8,8,2,0.0,3,3,0,3,2,3,6,0,6,0,530,530,1,3,0,5,581,530,0,1111,0,0,1,0,3,1,2,6,6,0,0,5,1935.0,3,1,288,3,3,0,0,0,144,0,0,0,0,4,1,0,3,2007,8,4,101000,11.522885696764481,1641,87,11,1.0
63,120,3,44.0,6442,1,1,0,3,0,4,0,16,2,2,4,2,8,5,2006,2006,1,1,12,13,3,178.0,4,3,2,4,4,2,2,24,6,0,1346,1370,1,5,1,5,1370,0,0,1370,0,0,2,0,2,1,4,6,6,1,4,1,2006.0,2,2,484,3,3,2,120,49,0,0,0,0,0,4,1,0,10,2007,8,4,202500,12.218500103788143,2740,1,1,2.0
64,70,4,50.0,10300,1,1,0,0,0,4,0,17,6,1,0,5,7,6,1921,1950,1,1,11,12,2,0.0,3,3,0,3,3,3,6,0,6,0,576,576,1,4,1,5,902,808,0,1710,0,0,2,0,3,1,3,9,6,0,0,5,1990.0,3,2,480,3,3,2,12,11,64,0,0,0,0,0,1,0,4,2010,8,4,140000,11.849404844423074,2286,89,60,2.0
65,60,3,0.0,9375,1,1,3,3,0,4,0,5,2,2,0,5,7,5,1997,1998,1,1,12,13,1,573.0,3,3,2,4,3,3,2,739,6,0,318,1057,1,5,1,5,1057,977,0,2034,1,0,2,1,3,1,4,8,6,0,0,1,1998.0,2,2,645,3,3,2,576,36,0,0,0,0,0,0,1,0,2,2009,8,4,219500,12.299112067295642,3091,12,11,3.5
